siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,phone_number,url,current_url
332210582,42,33221058200042,O,2005-02-01,12,2021.0,1105ZZ,2023-11-30T10:25:33,True,A,O,,1985-04-01,5710,COREFF,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,N,O,12,2021.0,42,2023-11-30T10:25:33,PME,2021.0,,2,,PL,DE LA GARE,29270,CARHAIX-PLOUGUER,,,29024,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,02 98 93 00 70 ,,"https://www.google.com/maps/place/Brasserie+Coreff/@48.2782872,-3.5656626,17z/data=!3m1!4b1!4m6!3m5!1s0x48110bf16f4d4651:0x5eb428a327016944!8m2!3d48.2782872!4d-3.5630877!16s%2Fg%2F1tddx50t?entry=ttu"
332210582,67,33221058200067,O,2021-02-01,01,2021.0,,2023-11-30T10:25:33,False,A,O,,1985-04-01,5710,COREFF,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,N,O,12,2021.0,42,2023-11-30T10:25:33,PME,2021.0,ZAC QUARTIER DE SEVAILLES,5,,RUE,ELINOR OSTROM,35340,LIFFRE,,,35152,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,Phone number not found,,"https://www.google.com/maps/place/Coreff/@48.2241387,-1.495447,17z/data=!3m1!4b1!4m6!3m5!1s0x480ed12b0e01bbef:0x82e24375d78394f0!8m2!3d48.2241387!4d-1.4928721!16s%2Fg%2F11q3tpf4b7?entry=ttu"
332224393,30,33222439300030,O,2021-11-29,,,1105ZZ,2022-04-07T11:39:01,False,A,O,,1985-05-01,5499,KALIFRAIS,,,,,,,,,,,,,,56.10C,NAFRev2,,N,,O,11,2021.0,22,2023-11-30T10:25:33,PME,2021.0,,1330,,RUE,ACHILLE PERES,59640,DUNKERQUE,,,59183,,,,,,,,,,,,,,,,,,,A,,,,SYNTHE B,11.05Z,NAFRev2,N,03 28 61 17 34 ,,"https://www.google.com/maps/place/Kalifrais/@51.0079257,2.3295043,17z/data=!3m1!4b1!4m6!3m5!1s0x47dc8b3e67f57fd3:0xf07e33973448e570!8m2!3d51.0079257!4d2.3320792!16s%2Fg%2F1td3kw76?entry=ttu"
334926086,37,33492608600037,O,2000-09-04,11,2021.0,1105ZZ,2023-11-30T10:26:23,True,A,O,,1986-01-01,5710,ALSABIERES,,,,,,,,,,,,,,11.05Z,NAFRev2,,O,N,O,11,2021.0,37,2023-11-30T10:26:23,PME,2021.0,,30,,RUE,PRINCIPALE,67140,SAINT-PIERRE,,,67429,,,,,,,,,,,,,,,,,,,A,BRASSERIE DE SAINT-PIERRE,,,,11.05Z,NAFRev2,O,03 88 08 82 95 ,,"https://www.google.com/maps/place/Brasserie+artisanale+Saint-Pierre/@48.3842648,7.4693868,17z/data=!3m1!4b1!4m6!3m5!1s0x47914e104fbfe23d:0x85c5dc22a6e43d93!8m2!3d48.3842648!4d7.4719617!16s%2Fg%2F1tx4n8hh?entry=ttu"
338722358,11,33872235800011,O,1986-09-01,12,2021.0,,2023-11-30T10:26:56,True,A,O,,1986-09-01,5499,SOCIETE REUNIONNAISE DE BRASSERIE,SOREBRA,SOREBRA,,,,,,,,,,,,11.05Z,NAFRev2,,,,O,12,2021.0,11,2023-11-30T10:26:56,PME,2021.0,ZI BEL AIR,12,,RUE,VALMY,97450,SAINT-LOUIS,,,97414,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,+262 262 26 82 42 ,,"https://www.google.com/maps/place/Brasserie+Fischer/@-21.291168,55.3960075,17z/data=!3m1!4b1!4m6!3m5!1s0x2182a3d8d9ea205b:0x2a8d1f22b8c343ce!8m2!3d-21.291168!4d55.3985824!16s%2Fg%2F11gvy14xxt?entry=ttu"
339398752,16,33939875200016,O,1986-11-03,11,2021.0,1105ZZ,2023-11-30T10:27:10,True,A,O,,1986-11-03,5499,BRASSERIE LA CHOULETTE,,LES CAVES D'HORDAIN,,,,,,,,,,,,11.05Z,NAFRev2,,N,N,O,11,2021.0,16,2023-11-30T10:27:10,PME,2021.0,,16,,RUE,DES ECOLES,59111,HORDAIN,,,59313,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,03 27 35 72 44 ,,"https://www.google.com/maps/place/Brasserie+La+Choulette/@50.2604833,3.3101283,17z/data=!3m1!4b1!4m6!3m5!1s0x47c2bfb2d7ba404b:0x7ff8fef2f68d9fbc!8m2!3d50.2604833!4d3.3127032!16s%2Fg%2F1213hdcg?entry=ttu"
341555068,12,34155506800012,O,1987-04-01,NN,,,2021-10-27T08:34:27,True,A,O,,1987-04-01,3220,PAULANER BRAUEREI GRUPPE GMBH & CO KGAA,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,N,NN,,12,2021-10-27T08:34:27,PME,2021.0,,,,,HOCHTRASSE 75,,,81541 MUNCHEN,,,,,99109.0,ALLEMAGNE,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,+49 89 480050 ,,"https://www.google.com/maps/search/PAULANER+BRAUEREI+GRUPPE+GMBH+%26+CO+KGAA+++++HOCHTRASSE+75++/@48.1227221,11.5799836,17z/data=!3m1!4b1?entry=ttu"
348394602,59,34839460200059,O,2008-07-01,03,2021.0,,2023-11-30T10:29:34,False,A,O,,1988-10-20,5710,LE BRASSEUR,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,O,11,2021.0,34,2023-11-30T10:29:34,PME,2021.0,,39,,ALL,DE FAUGERAS,87100,LIMOGES,,,87085,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,Phone number not found,,"https://www.google.com/maps/place/Maison+Michard,+bi%C3%A8res+et+whiskies/@45.8545892,1.2850231,17z/data=!3m1!4b1!4m6!3m5!1s0x47f934ff47ec48e1:0xbee9190211037e01!8m2!3d45.8545892!4d1.287598!16s%2Fg%2F124szqb57?entry=ttu"
350492567,10,35049256700010,O,1989-02-01,NN,,,2008-01-04T23:17:24,True,A,O,,1989-02-01,3220,SOC BRAU UND BRUNNEN,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,N,NN,,10,2011-12-02T04:23:08,PME,2021.0,,,,,POSTFACH 105017 RHEINISCHE,,,STRASSE 2 4600 DORTMUND 1,,,,,99109.0,ALLEMAGNE,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,Error,,"https://www.google.com/maps/search/SOC+BRAU+UND+BRUNNEN+++++POSTFACH+105017+RHEINISCHE++/@48.8800256,2.2904832,13z?entry=ttu"
350492567,28,35049256700028,O,1989-02-01,NN,,,2019-11-14T14:00:13,False,A,O,,1989-02-01,3220,SOC BRAU UND BRUNNEN,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,N,NN,,10,2011-12-02T04:23:08,PME,2021.0,,13,,RUE,SAINT HUMBERT,02240,MEZIERES-SUR-OISE,,,02483,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,Phone number not found,,"https://www.google.com/maps/search/SOC+BRAU+UND+BRUNNEN++13++RUE+SAINT+HUMBERT+02240+MEZIERES-SUR-OISE/@49.784459,3.4016654,17z/data=!3m1!4b1?entry=ttu"
351038120,17,35103812000017,O,1986-01-01,NN,,,2008-01-04T23:24:11,True,A,O,,1986-01-01,3220,HOLSTEN BAUEREI AG,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,N,NN,,17,2011-12-02T04:27:36,PME,2021.0,,,,,224D 2000 HAMBURGT 50,,,HOLSTEN STRASSE,,,,,99109.0,ALLEMAGNE,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,Phone number not found,,"https://www.google.com/maps/search/HOLSTEN+BAUEREI+AG+++++224D+2000+HAMBURGT+50++/@53.5581189,9.5981877,10z/data=!3m1!4b1?entry=ttu"
368800413,40,36880041300040,O,2019-11-15,,,1105ZZ,2019-12-19T12:49:52,False,A,O,,1968-01-01,5499,MAISON MOITRIER-BRASSERIE ABC,,BRASSERIE RESTAURANT ABC,,,,,,,,,,,,56.10A,NAFRev2,,N,,O,11,2021.0,32,2023-11-30T10:18:23,PME,2021.0,,1,,PL,DE L'EGLISE,57160,LESSY,,,57396,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,03 87 66 67 11 ,,"https://www.google.com/maps/search/MAISON+MOITRIER-BRASSERIE+ABC++1++PL+DE+L'EGLISE+57160+LESSY/@49.1156752,6.094162,13z/data=!3m1!4b1?entry=ttu"
378516256,13,37851625600013,O,1990-06-01,NN,,,2008-01-04T21:17:34,True,A,O,,1990-06-01,3220,WARSTEINER BRAUEREI HAUS CRAMER GMBH,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,N,NN,,13,2016-07-14T08:26:32,PME,2021.0,,4,,,D 59564 WARSTEIN,,,DOHRING,,,,,99109.0,ALLEMAGNE,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,+49 2902 885001 ,,"https://www.google.com/maps/search/WARSTEINER+BRAUEREI+HAUS+CRAMER+GMBH++4+++D+59564+WARSTEIN++/@51.4556482,8.2235203,12z/data=!3m1!4b1?entry=ttu"
378971550,41,37897155000041,O,2017-12-06,,,,2023-05-02T17:16:38,True,A,O,,1990-08-03,5499,B ET C SOLUTION,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,N,O,NN,,41,2023-05-02T17:16:38,PME,2021.0,,,,RTE,DE BROVES,83830,BARGEMON,,,83011,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,04 94 76 77 51 ,,"https://www.google.com/maps/search/B+ET+C+SOLUTION++++RTE+DE+BROVES+83830+BARGEMON/@43.6230988,6.5026623,13z/data=!3m1!4b1?entry=ttu"
380468348,38,38046834800038,O,2010-04-15,,,,2019-11-14T14:00:30,False,A,O,,1991-01-01,5499,SOC VERFEUILLE,,,,,,,,,,,,,,10.39B,NAFRev2,,,,O,11,2021.0,12,2023-11-30T10:19:48,PME,2021.0,,,,RUE,DES TAILLADES,30110,BRANOUX-LES-TAILLADES,,,30051,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,04 66 61 10 98 ,,"https://www.google.com/maps/search/SOC+VERFEUILLE++++RUE+DES+TAILLADES+30110+BRANOUX-LES-TAILLADES/@44.2857695,3.9023124,12z/data=!3m1!4b1?entry=ttu"
381077783,29,38107778300029,O,1991-09-01,22,2021.0,,2023-11-30T10:20:03,True,A,O,,1991-03-01,5710,BRASSERIE LICORNE,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,N,O,22,2021.0,29,2023-11-30T10:20:03,ETI,2021.0,,60,,RUE,DE DETTWILLER,67700,SAVERNE,,,67437,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,03 88 02 19 99 ,,"https://www.google.com/maps/place/Brasserie+Licorne/@48.740677,7.3786834,17z/data=!3m1!4b1!4m6!3m5!1s0x4796a0bf6b3d2f5d:0xb06e8c4f1289baa3!8m2!3d48.740677!4d7.3812583!16s%2Fg%2F1jlk1j5nx?entry=ttu"
381077783,37,38107778300037,O,2016-06-01,11,2021.0,,2023-11-30T10:20:03,False,A,O,,1991-03-01,5710,BRASSERIE LICORNE,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,N,O,22,2021.0,29,2023-11-30T10:20:03,ETI,2021.0,,,,RUE,ROHAN,67790,STEINBOURG,,,67478,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,Phone number not found,,"https://www.google.com/maps/@48.8800256,2.2904832,13z?entry=ttu"
382581551,19,38258155100019,O,1991-02-01,NN,,,2008-01-04T22:12:01,True,A,O,,1991-02-01,3220,KRONE AG,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,N,NN,,19,2011-12-03T00:40:39,PME,2021.0,,3,,,BEESKOWDAMM,,,N¿3 11-1000 BERLIN 37,,,,,99109.0,ALLEMAGNE,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,+49 30 84530 ,,https://www.google.com/maps
382726909,49,38272690900049,O,2016-07-01,01,2021.0,1105ZZ,2023-11-30T10:20:46,False,A,O,,1991-08-06,5710,LUDELI,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,,O,02,2021.0,31,2023-11-30T10:20:46,PME,2021.0,,65,,RTE,DES VIBERTS,74700,SALLANCHES,,,74256,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,Phone number not found,,"https://www.google.com/maps/search/LUDELI++65++RTE+DES+VIBERTS+74700+SALLANCHES/@45.9166828,6.6319893,17z/data=!3m1!4b1?entry=ttu"
390084838,15,39008483800015,O,1993-02-11,NN,,,2008-01-04T23:34:57,True,A,O,,1993-02-11,3220,BIERBRAUREI BECKER,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,N,NN,,15,2011-12-03T01:34:58,PME,2021.0,,,,,D-6670 ST-INGBERT,,,POSTFACH 1180,,,,,99109.0,ALLEMAGNE,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,Phone number not found,,"https://www.google.com/maps/search/BIERBRAUREI+BECKER+++++D-6670+ST-INGBERT++/@49.2800256,7.1142419,14z/data=!3m1!4b1?entry=ttu"
392724456,34,39272445600034,O,2021-04-19,,,1105ZZ,2023-01-16T15:56:02,True,A,O,,1993-10-01,5499,SEINE PAYSAGE,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,N,N,NN,,34,2023-01-16T15:56:02,PME,2021.0,,16,,RUE,DES HOUX,80800,LAHOUSSOYE,,,80458,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,06 75 67 44 24 ,,"https://www.google.com/maps/search/SEINE+PAYSAGE++16++RUE+DES+HOUX+80800+LAHOUSSOYE/@48.8724948,1.0125957,8z/data=!3m1!4b1?entry=ttu"
397863465,43,39786346500043,O,2010-11-15,01,2021.0,1104ZZ,2023-11-30T10:25:26,True,A,O,,1994-08-01,5499,CHALON BIERE NOUVELLE EN ABREGE C.B.N.,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,O,01,2021.0,43,2023-11-30T10:25:26,PME,2021.0,,6,,PL,GENERAL DE GAULLE,71100,CHALON-SUR-SAONE,,,71076,,,,,,,,,,,,,,,,,,,A,CHALON BIERE NOUVELLE EN ABREGE C.B.N.,,,CHALON BIERE NOUVELLE EN ABREGE C.B.N.,11.05Z,NAFRev2,O,03 85 41 16 30 ,,"https://www.google.com/maps/search/CHALON+BIERE+NOUVELLE+EN+ABREGE+C.B.N.++6++PL+GENERAL+DE+GAULLE+71100+CHALON-SUR-SAONE/@46.793139,4.8097777,13z/data=!3m1!4b1?entry=ttu"
399347426,21,39934742600021,O,1996-12-23,NN,,1105ZZ,2019-10-30T19:35:53,True,A,O,,1995-01-02,5499,FRANCOIS XAVIER VANTORRE,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,,O,NN,,21,2020-07-09T11:12:35,PME,2021.0,,1600,,,RD 104 MOULIN DES CORNES,07000,COUX,,,07072,,,,,,,,,,,,,,,,,,,A,,,,BRASSERIE VANTORRE,11.05Z,NAFRev2,O,Phone number not found,,"https://www.google.com/maps/search/FRANCOIS+XAVIER+VANTORRE++1600+++RD+104+MOULIN+DES+CORNES+07000+COUX/@44.7351145,4.625899,17z/data=!3m1!4b1?entry=ttu"
400016622,13,40001662200013,O,1995-02-02,12,2021.0,1107BZ,2023-11-30T10:26:21,True,A,O,,1995-02-02,5710,BRASSERIE PIETRA,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,,O,12,2021.0,13,2023-11-30T10:26:21,ETI,2021.0,FURIANI,,,RTE,DE LA MARANA,20600,FURIANI,,,2B120,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,04 95 30 14 70 ,,"https://www.google.com/maps/place/Brasserie+Pietra/@42.6538655,9.4409081,17z/data=!3m1!4b1!4m6!3m5!1s0x12d73b4628fd01cd:0xcab2cf4e43736a65!8m2!3d42.6538655!4d9.443483!16s%2Fg%2F1tjjrgv5?entry=ttu"
